author,date,story,comment
cmdkeen,2015-08-03T11:50:08Z,The Unemployable Programmer,"The developers we hire in their 40s don&#x27;t all have degrees, but what they do have is <i>relevant</i> experience. Now that relevance may be domain knowledge in the industry, or it might be experience with particular part of our stack - the classic example is the very experienced Oracle developer"
foolinaround,2015-08-03T02:25:52Z,Postgres Guide,"What needs more documentation is the highlighting of sections where Postgres does differently from say, Oracle, MySQL or SqlServer...<p>e.g., If you are used to do X this way with MySQL, here&#x27;s how to do it in Postgres."
jack9,2015-08-03T00:22:41Z,Meetings Are Legalized Robbery,&gt; A good software architect doesn&#x27;t need meetings and never organizes them.<p>Well I&#x27;m glad someone decided this arbitrarily. Who needs data? We have an oracle.
adventured,2015-08-02T00:22:48Z,Silicon Valley is perhaps the most productive and innovative place in the world,"Not based solely on stock value. Just those 99 companies, referenced in the article, account for 6% of all US corporate earnings.<p>Intel + Apple + Google + Cisco + Oracle = ~$95 billion in net income."
natrius,2015-08-01T22:05:45Z,What is Ethereum?,"You can decentralize the reporting of an individual&#x27;s death using Schelling point consensus, which is what we use to decide Augur&#x27;s prediction markets on Ethereum. In brief, we distribute a token to a &quot;reporters.&quot; At the appropriate time, reporters submit their decisions about ev"
kang,2015-08-01T15:50:34Z,What is Ethereum?,"Bitcoin transactions are scripts that execute sequentially and are very restrictive. Ethereum instead took bitcoin and replaced that scripting language with a turing-complete language.<p>Now, consider the conditional operator in the given example.<p>&quot;If a transaction occurs..&quot; is the condi"
aorth,2015-08-01T10:34:34Z,Web We Want,The web I want has websites using SHA2-based TLS certificates and TLS cipher suites that aren&#x27;t vulnerable to padding oracle attacks (AES CBC).
Animats,2015-08-01T07:05:22Z,On “order by” optimization,"Right.  MySQL&#x27;s optimizer knows how many records each table has, but not much else.  It doesn&#x27;t do statistical tests on the tables.   Depending on table contents, &quot;WHERE b=X&quot; can select any number of records, from zero to the whole database.  Whether the optimal strategy is to do"
th3iedkid,2015-08-01T05:45:51Z,On “order by” optimization,"&gt;&gt;Unfortunately, optimizer doesn’t understand, that there’re humans who are building these systems, and humans have their own rationale and thinking. One of the ideas that a human would have is that if you have 100GB table, you better understand things like data locality and other sorts of eff"
JohnTHaller,2015-07-31T13:47:27Z,VirtualBox and Windows 10 breaks a lot of popular dev tools,Windows 10 has been available for developers to test their apps on for over 9 months and well publicized.  It looks like VirtualBox didn&#x27;t bother to take advantage of that window.  It&#x27;s likely not because it&#x27;s free and open source (I&#x27;ve ensured my FOSS projects work on Windows 10
